,STKCODE,DATE,CLOSE_PRICE,TRDVOL,TRDVAL,MARKETCAP,SHARES,REPORT_DATE,REPORT,Assets_Total,Current_Fin_Assets,Cash_and_Cash_Equivalents,Current_Liab_Total,Current_Liab_Total,Current_Payables,Current_Emp_Benefits,LT_Liab_Total,LT_Payables,LT_Emp_Benefits,Equity_Total,Controlling_Equity_Total,REV,GROSS,OPR,SGA_2,NETINC,NETINC_1,Add_Exp_WO_CF_Out_5,Add_Exp_WO_CF_Out_6,EPS,EPS_prev,EPS Growth,PEG
0,095570,2022-05-10,6240,118538,732667600,292171120800,46822295,2021-12-31,Y,1355044000000,30587000000,85232000000,525177000000,525177000000,78022000000,0,467358000000,2892000000,1410000000,362510000000,361501000000,1026749000000,1026749000000,45110000000,15031000000,76737000000,76792000000,158690000000,4416000000,1638.89873403258,-70.84231988201347,2413.445884835695,0.0015775927602088029
1,006840,2022-05-10,20250,18098,362459750,268263110250,13247561,2021-12-31,Y,4548737000000,29707000000,515234000000,1873943000000,1873943000000,610822000000,0,1472435000000,61350000000,58116000000,1202359000000,599581000000,3167700000000,506431000000,-165715000000,98356000000,-199326000000,-111336999999,224148000000,15224000000,-15046.241342085536,-19951.672613547504,24.58656658254858,-0.0547392847567826
2,027410,2022-05-10,5380,159531,858459840,514956335580,95716791,2021-12-31,Y,1981622000000,143512000000,207259000000,114383000000,114383000000,66386000000,0,134476000000,157000000,3311000000,1732763000000,1568909000000,206771000000,80751000000,11499000000,6745999999,35977000000,65538000000,8774000000,1416000000,375.8692662398178,186.81152818840323,101.20239360214751,0.14143427713103568
3,282330,2022-05-10,187500,104680,19384600500,3240732375000,17283906,2021-12-31,Y,2596379000000,513433000000,54441999999,1016456000000,1016456000000,676136000000,0,770603000000,0,4231000000,809319000000,809319000000,6781161000000,1177098000000,199442000000,380151000000,147643000000,147643000000,370588000000,11772000000,8542.224193998742,7099.726184521022,20.31765693475172,1.0803306152544292
4,001460,2022-05-10,444500,358,158266000,277641367500,624615,2021-12-31,Y,684435000000,40000000000,51702000000,130678000000,130678000000,44853000000,0,71945000000,69935000000,373000000,481812000000,481830000000,164446000000,69897000000,26711000000,1561000000,29855000000,29858999999,11990000000,94000000,47797.44322502662,29274.032804207392,63.27590921520372,0.14697000367050653
5,001040,2022-05-10,84100,46514,3871273600,2453785531800,29176998,2021-12-31,Y,41955996000000,805929000000,3193865000000,12546084000000,12546084000000,5197306000000,0,12946382000000,444176000000,131359999999,16463529999999,5066019000000,34484027000000,9696113000000,1881800000000,659710000000,806962000000,274974000000,1800940000000,646615000000,27657.471820781564,6992.083284236439,295.5540959178071,0.010288369063923664
6,079160,2022-05-10,26550,334181,8729021950,1084122123750,40833225,2021-12-31,Y,3785492000000,51896000000,338265000000,975423000000,975423000000,199688000000,12874000000,2508784000000,20124000000,5533000000,301285000000,225248000000,736315000000,736315000000,-241446000000,318519000000,-338788000000,-280207000000,305614000000,12905000000,-8296.87099169855,-18407.75495934989,54.92730639873983,-0.05825884711552971
7,000120,2022-05-10,121500,71519,8504025000,2771699796000,22812344,2021-12-31,Y,8993929000000,130944000000,229502000000,2448916000000,2448916000000,1256313000000,0,2528655000000,316581000000,38516000000,4016358000000,3565469000000,11343652000000,1071328000000,343881000000,52500000000,158280000000,54741999999,425428000000,50764000000,6938.348816763415,6252.009876757952,10.977892766243862,1.5951486624734306
8,011150,2022-05-10,3895,365426,1415312150,139950360835,35930773,2021-12-31,Y,133390000000,29918000000,109000000,40773000000,40773000000,31157000000,0,25505000000,200000000,99000000,67112000000,67112000000,162143000000,22031000000,4499000000,364000000,2204000000,2204000000,6218000000,42000000,61.34017768000705,58.612710586549305,4.653371369730951,13.645665430712926
9,097950,2022-05-10,401000,155540,61800918500,6036728586000,15054186,2021-12-31,Y,26855803999999,324718000000,1096870000000,7915867999999,7915867999999,3677253000000,0,8133136000000,350789000000,67161000000,10806800000000,6113526000000,26289228000000,5782091000000,1524429000000,292113000000,892393000000,612890000000,1114489000000,150809000000,59278.72818895688,52239.68934620576,13.474503640520535,0.5020335244825377
10,000590,2022-05-10,66700,3379,222804800,77003949400,1154482,2021-12-31,Y,353717000000,18745000000,97563000000,29189999999,29189999999,21961000000,0,12331000000,1713000000,2375000000,312196000000,256883000000,159018000000,40942000000,19648000000,1316000000,21066000000,14663999999,3378000000,307000000,18247.144606845322,10251.35082227354,77.99746514575412,0.04686519532372699
11,012030,2022-05-10,977,873129,831047164,196546932541,201173933,2021-12-31,Y,601999000000,10566000000,16710000000,50552000000,50552000000,29907000000,0,113661999999,0,355000000,437784000000,437784000000,326915000000,61817999999,23473000000,4635000000,21705000000,21705000000,3688000000,3590000000,107.89171179548396,31.17203062287399,246.11704672301067,0.036792964800773306
12,000990,2022-05-10,66500,937901,60488765200,2952506102000,44398588,2021-12-31,Y,1549938000000,288700000000,183018000000,335337000000,335337000000,146384000000,0,108551000000,10607000000,0,1106050000000,1106050000000,1214682000000,535197000000,399107000000,8808000000,316892000000,316892000000,137898000000,6883000000,7137.434190474706,3739.443245357262,90.86890005179912,0.10253313995471404
13,001530,2022-05-10,23700,98356,2273046300,605967999000,25568270,2021-12-31,Y,993144000000,11345000000,52179000000,306523000000,306523000000,61084000000,0,113115000000,6766000000,0,573505000000,550654000000,813085000000,111634999999,48593000000,3938000000,46335000000,42007000000,20001000000,164000000,1812.2070832324596,940.5016452032148,92.68515823179605,0.14110107637837133
14,000210,2022-05-10,63000,84631,5245071700,1320220692000,20955884,2021-12-31,Y,8322963000000,74386000000,1756188000000,1460931000000,1460931000000,413137000000,0,2331810000000,34033000000,1641000000,4530222000000,3933223000000,2385421000000,450201000000,221892999999,0,875037999999,865414000000,121970000000,26799000000,41756.1960163074,27326.78802764894,52.80316140359762,0.028573253659182184
15,001880,2022-05-10,24250,51818,1247485800,534792137000,22053284,2021-12-31,Y,1669600999999,75668000000,578224000000,548946000000,548946000000,411091000000,0,162764000000,1027000000,5689000000,957891000000,957891000000,2010343999999,304763000000,229634000000,3625000000,175561000000,175561000000,9074000000,3568000000,7960.7644829677065,6770.873671240982,17.573667291722465,0.17333831372086528
