,STKCODE,DATE,CLOSE_PRICE,TRDVOL,TRDVAL,MARKETCAP,SHARES,REPORT_DATE,REPORT,Assets_Total,Current_Inventory,Current_Fin_Assets,Cash_and_Cash_Equivalents,Current_Receviables,Current_Liab_Total,Current_Payables,Current_Emp_Benefits,LT_Liab_Total,LT_Payables,LT_Emp_Benefits,Equity_Total,Controlling_Equity_Total,Current_Assets_Total,REV,GROSS,CGS,OPR,SGA_2,NETINC,NETINC_1,FINCOST,FININC,TAX,Add_Exp_WO_CF_Out_5,Add_Exp_WO_CF_Out_6,CFO_Total,PER,EBIT,GreenBlatt
0,095570,2022-05-10,6240,118538,732667600,292171120800,46822295,2021-12-31,Y,1355044000000,19736000000,30587000000,85232000000,96073000000,525177000000,78022000000,0,467358000000,2892000000,1410000000,362510000000,361501000000,273913000000,1026749000000,1026749000000,0,45110000000,15031000000,76737000000,76792000000,36442000000,5380000000,9988000000,158690000000,4416000000,-11318000000,3.8074347550725203,117787000000,0.1419347919606395
1,006840,2022-05-10,20250,18098,362459750,268263110250,13247561,2021-12-31,Y,4548737000000,375434000000,29707000000,515234000000,362997000000,1873943000000,610822000000,0,1472435000000,61350000000,58116000000,1202359000000,599581000000,1352749000000,3167700000000,506431000000,2661269000000,-165715000000,98356000000,-199326000000,-111336999999,86600000000,33060000000,-48318000000,224148000000,15224000000,-9766000000,-1.345851069353722,-194104000000,-0.0725678313918754
2,027410,2022-05-10,5380,159531,858459840,514956335580,95716791,2021-12-31,Y,1981622000000,50263000000,143512000000,207259000000,65028000000,114383000000,66386000000,0,134476000000,157000000,3311000000,1732763000000,1568909000000,468764000000,206771000000,80751000000,126020000000,11499000000,6745999999,35977000000,65538000000,3810000000,8755000000,5481000000,8774000000,1416000000,1525000000,14.313487383050282,36513000000,0.01955454015259964
3,282330,2022-05-10,187500,104680,19384600500,3240732375000,17283906,2021-12-31,Y,2596379000000,108458000000,513433000000,54441999999,117263000000,1016456000000,676136000000,0,770603000000,0,4231000000,809319000000,809319000000,808329000000,6781161000000,1177098000000,5604064000000,199442000000,380151000000,147643000000,147643000000,23367000000,15566000000,44873000000,370588000000,11772000000,538147999999,21.94978681684875,200317000000,0.12678909035440336
4,001460,2022-05-10,444500,358,158266000,277641367500,624615,2021-12-31,Y,684435000000,30955000000,40000000000,51702000000,10018000000,130678000000,44853000000,0,71945000000,69935000000,373000000,481812000000,481830000000,133339000000,164446000000,69897000000,94549000000,26711000000,1561000000,29855000000,29858999999,3109000000,867000000,10335000000,11990000000,94000000,35707000000,9.299660609613131,42432000000,0.07662566793738047
5,001040,2022-05-10,84100,46514,3871273600,2453785531800,29176998,2021-12-31,Y,41955996000000,2735869000000,805929000000,3193865000000,4007069999999,12546084000000,5197306000000,0,12946382000000,444176000000,131359999999,16463529999999,5066019000000,12052390000000,34484027000000,9696113000000,24787914000000,1881800000000,659710000000,806962000000,274974000000,976811000000,499867000000,493888000000,1800940000000,646615000000,3353191000000,3.040769617156694,1777794000000,0.0604488037910484
6,079160,2022-05-10,26550,334181,8729021950,1084122123750,40833225,2021-12-31,Y,3785492000000,12768000000,51896000000,338265000000,134802000000,975423000000,199688000000,12874000000,2508784000000,20124000000,5533000000,301285000000,225248000000,620646000000,736315000000,736315000000,0,-241446000000,318519000000,-338788000000,-280207000000,193588000000,67642999999,-34520000000,305614000000,12905000000,-171877000000,-3.200001545952041,-247362999999,-0.08802737583988152
7,000120,2022-05-10,121500,71519,8504025000,2771699796000,22812344,2021-12-31,Y,8993929000000,25129000000,130944000000,229502000000,1432062000000,2448916000000,1256313000000,0,2528655000000,316581000000,38516000000,4016358000000,3565469000000,2348223000000,11343652000000,1071328000000,10272324000000,343881000000,52500000000,158280000000,54741999999,204228000000,71771000000,80911000000,425428000000,50764000000,344143000000,17.511370962850645,371648000000,0.056783386068140734
8,011150,2022-05-10,3895,365426,1415312150,139950360835,35930773,2021-12-31,Y,133390000000,16746000000,29918000000,109000000,2828000000,40773000000,31157000000,0,25505000000,200000000,99000000,67112000000,67112000000,51224000000,162143000000,22031000000,140112000000,4499000000,364000000,2204000000,2204000000,1898999999,494000000,476999999,6218000000,42000000,10911000000,63.498348836206894,4085999998,0.04411717069220553
9,097950,2022-05-10,401000,155540,61800918500,6036728586000,15054186,2021-12-31,Y,26855803999999,2338252000000,324718000000,1096870000000,2920828000000,7915867999999,3677253000000,0,8133136000000,350789000000,67161000000,10806800000000,6113526000000,7725600999999,26289228000000,5782091000000,20507137000000,1524429000000,292113000000,892393000000,612890000000,642436000000,345855000000,325394000000,1114489000000,150809000000,1686409000000,6.764652553303309,1514368000000,0.0799563419855273
