,STKCODE,DATE,CLOSE_PRICE,TRDVOL,TRDVAL,MARKETCAP,SHARES,REPORT_DATE,REPORT,Assets_Total,Current_Inventory,Current_Fin_Assets,Cash_and_Cash_Equivalents,Current_Receviables,Current_Liab_Total,Current_Payables,Current_Emp_Benefits,LT_Liab_Total,LT_Payables,LT_Emp_Benefits,Equity_Total,Controlling_Equity_Total,Current_Assets_Total,REV,GROSS,CGS,OPR,SGA_2,NETINC,NETINC_1,FINCOST,FININC,TAX,Add_Exp_WO_CF_Out_5,Add_Exp_WO_CF_Out_6,CFO_Total,PER,ROA,CurrentRatio,LiabRatio,GrossMargin,AssetTurnover,ROA_prev,GrossMargin_prev,AssetTurnover_prev,LiabRatio_prev,CurrentRatio_prev,SHARES_prev,F_ROA,F_ROA_dt,F_CFO,F_Accrual,F_Liquid,F_Lever,F_Shares,F_Margin,F_Turn,F_Score
11,012030,2022-05-10,977,873129,831047164,196546932541,201173933,2021-12-31,Y,601999000000,3439000000,10566000000,16710000000,46339000000,50552000000,29907000000,0,113661999999,0,355000000,437784000000,437784000000,84468000000,326915000000,61817999999,265096999999,23473000000,4635000000,21705000000,21705000000,5867000000,4943000000,6348000000,3688000000,3590000000,18588000000,9.055375836950011,3.6054877167570045,1.6709131191644246,0.11547247044204448,0.18909502469755135,0.5430490748323502,1.3272210475966737,0.2317596881547169,0.5766162741724181,0.37589773832103407,0.751316559391457,201173933,1,1,1,0,1,1,1,0,0,6
18,155660,2022-05-10,6270,243080,1469658380,100320000000,16000000,2021-12-31,Y,302599000000,87915000000,18763000000,15855000000,50553000000,115596000000,39167000000,0,8984000000,17000000,457000000,178019000000,175862000000,185738000000,272417999999,35451000000,236966000000,13454000000,101000000,12539000000,12290000000,2295000000,2384000000,3401000000,8431999999,0,5332000000,8.000638009410638,4.143767824744959,1.6067857019274023,0.6493464180789691,0.13013457260581215,0.9002607411095211,3.548709757765768,0.1402069443241839,0.9131918224696268,0.49945382689380924,1.6566282084362367,16000000,1,1,1,0,0,0,1,0,0,4
19,069730,2022-05-10,6020,336816,1964407740,86688000000,14400000,2021-12-31,Y,241711000000,50814000000,4688000000,12520000000,54272000000,82517000000,24284000000,227000000,5360000000,0,101000000,153835000000,153835000000,122541000000,207142999999,17674000000,189469000000,4292000000,208000000,7620000000,7620000000,1867000000,1657999999,1331000000,6022000000,0,-13140000000,11.376377952755906,3.1525251229774396,1.485039446417102,0.5363993889556993,0.08532269977786033,0.8569862356243613,2.559477922745366,0.09260699064168847,0.8543245431581601,0.37369662574954704,1.5851065776522753,14400000,1,1,0,0,0,0,1,0,1,4
25,006360,2022-05-10,39700,643676,25302797350,3397585153000,85581490,2021-12-31,Y,15183726999999,1477100000000,468726000000,2718390000000,2126448000000,6769327000000,2734148000000,0,3541676000000,81443000000,9263000000,4872724000000,4625316000000,8195112000000,9036575000000,1350757000000,7685819000000,646486000000,53390000000,428803000000,408477000000,182459000000,127724000000,229127000000,121484999999,32364999999,1107469000000,7.923417403796149,2.824095823113971,1.2106243353290511,1.3892284890340598,0.14947665459535278,0.5951486746304511,2.3940433433996495,0.15164461755197187,0.7351076686274997,1.3285500668349368,1.2658552431530032,85581490,1,1,1,1,0,0,1,0,0,5
39,344820,2022-05-10,58200,53437,3068175400,929483798400,15970512,2021-12-31,Y,1877934999999,165578000000,39132000000,64979999999,183377000000,385816000000,203504000000,0,103705000000,3061000000,0,1388414000000,1388414000000,792918000000,1175660000000,296547000000,879112999999,160451000000,7301000000,117225000000,117225000000,3411999999,3149000000,40561000000,91455000000,3494000000,229687000000,7.92905778119002,6.242228831139652,2.0551713770294646,0.2778825335958871,0.2522387424935781,0.6260387074103343,7.704545944071868,0.17786743092920834,0.41253346543922464,0.17267951998193756,3.3388558842370366,15970512,1,0,1,1,0,0,1,1,1,6
44,016380,2022-05-10,21850,15695219,351065370200,2185194399450,100008897,2021-12-31,Y,2771098000000,661775000000,1286000000,67870000000,367910000000,815570000000,318479000000,0,805364000000,0,16762000000,1150164000000,1150418000000,1123225000000,3354789000000,396767000000,2958022000000,296912000000,2987000000,190708000000,190951000000,80504000000,28274000000,51550000000,61504000000,0,-47201000000,11.458325814596137,6.8820373729113875,1.3772269700945352,0.7090901819218824,0.11826883896423888,1.210635278867799,2.9628550205716295,0.08955219420400232,1.0375258944750039,0.489346193703326,1.3639012666259094,100008897,1,1,0,0,1,0,1,1,1,6
52,030200,2022-05-10,36150,1016932,36454190450,9439191859200,261111808,2021-12-31,Y,37159341000000,514145000000,1185659000000,3019592000000,5087490000000,10072432000000,6641422000000,0,10519748000000,1338781000000,197883000000,16567160999999,14976535999999,11858350000000,24898005000000,24898005000000,0,1671824000000,3607637000000,1459395000000,1356878000000,563330000000,726283000000,519016000000,3042610000000,604744000000,5561834000000,6.467880086748276,3.9273974207454327,1.1773075261267587,0.6079757418908772,1.0,0.6700335455356972,2.0895389816783014,1.0,0.710483030917597,0.5911012830779383,1.2134037503731314,261111808,1,1,1,1,0,0,1,0,0,5
53,033780,2022-05-10,82600,331155,27280860200,11340360252200,137292497,2021-12-31,Y,11637271000000,2375381000000,1440145000000,946570999999,1320539000000,2063946000000,1683813000000,0,364463000000,57434000000,57736000000,9208862000000,9158786000000,6255862000000,5228352000000,2878172000000,2350180000000,1338383000000,73675000000,971759000000,977259000000,31901000000,78753000000,415441000000,202666000000,14494000000,1419821000000,11.66993076699058,8.350402770546463,3.0310201914197368,0.22412606465380847,0.5504931573084597,0.4492764669654939,10.216287684148673,0.5792397342121979,0.4408041656788058,0.2190481470090101,3.389610904790674,137292497,1,0,1,1,0,0,1,0,1,5
60,032640,2022-05-10,14150,1295204,18135210800,6178050758150,436611361,2021-12-31,Y,19370515000000,241363000000,121978000000,770318000000,1980028000000,5073659000000,2682092000000,0,6338298000000,898098000000,30891000000,7958558000000,7673144000000,5164421000000,13851135000000,13851135000000,0,979014000000,2441136000000,724218000000,712335000000,155184000000,58569000000,180975000000,2071100000000,370036000000,3404503000000,8.530650657882019,3.7387648185915547,1.0178888648212268,0.6375098353244394,1.0,0.7150628158311744,2.605231880427396,1.0,0.731198260072457,0.5657056514168862,1.1438347540104914,436611361,1,1,1,1,0,0,1,0,0,5
75,181710,2022-05-10,31200,350125,11120586350,1170558948000,37517915,2021-12-31,Y,3027172000000,48525000000,324780000000,596403000000,291858000000,719698000000,488847999999,0,208865000000,64107000000,61492999999,2098608000000,1834304000000,1359936000000,1923677000000,1923677000000,0,97869000000,73109000000,129701000000,116851000000,61405999999,121167000000,46948000000,54669000000,18705000000,226363000000,9.025057231632756,4.284559978752446,1.889592579109571,0.3429406539954103,1.0,0.6354700030259265,1.0959136095801885,1.0,0.6433901975392513,0.303034706764308,1.944875690261718,37517915,1,1,1,1,0,0,1,0,0,5
