,STKCODE,CLOSE_PRICE,RIM
166,003920,390000,-817930.5555555554
198,042660,23950,-158432.13728120195
646,009540,86800,-131309.60632000433
269,023530,93000,-103319.85271179306
724,329180,130500,-91720.11039918887
1857,078650,2120,-91343.55714960636
1,006840,20250,-84043.39485509825
644,015760,22600,-82793.65139616682
239,084670,17700,-82629.70076002333
6,079160,26550,-68622.30450815482
521,008500,22550,-62116.666666666664
515,000230,47000,-61428.54667082597
540,089590,21100,-54718.61267241574
1844,229000,13500,-52863.33402506487
38,002380,345000,-51516.51313552928
1274,052190,3005,-49912.8733126765
180,145210,5510,-48776.53086211039
432,020560,19200,-48712.19018541208
1164,299910,3165,-47796.27328950363
715,010620,78900,-39981.3239893527
514,249420,49100,-37198.798580099414
1888,311690,34500,-32782.91423641257
1484,069510,8130,-31931.255728689273
1570,066970,217900,-31476.261811425986
1951,069110,2630,-30842.09040185191
630,039130,71700,-30825.496379351436
2090,241820,27800,-30218.058756180842
706,143210,4800,-29101.321906679277
1501,203400,7880,-28833.27708455655
266,032350,15050,-27780.30379853846
535,036420,46100,-27542.65569850526
117,002820,5400,-26864.712523940172
2128,256840,8690,-26356.21693585693
2009,199800,64400,-26351.088650680867
1973,115180,30300,-25719.702521381867
562,272450,17550,-25590.613026819923
277,071840,22250,-24336.115249118597
1859,314130,22000,-24254.47369811089
672,069640,3870,-23999.711216437237
1835,058420,2160,-23437.76612582283
1033,219550,4210,-22445.813926568328
1623,226950,20250,-21684.77927645886
1412,175250,11550,-20086.14301373822
1557,183490,19800,-19998.179960366786
2007,108230,8090,-19667.442902361436
316,005180,53200,-19618.848021279755
1462,217480,3075,-19436.48080268869
1568,138690,1650,-19295.383496660255
541,004910,8270,-19057.03125
1813,095700,33950,-19005.668290141333
471,006980,31650,-18766.990291262136
1466,298060,10900,-18731.719749715812
927,065560,5770,-18606.255320317432
1348,217330,59600,-18358.877465512294
23,114090,14000,-18312.306697187178
1508,227100,4750,-17966.440702448057
1722,263050,13350,-17759.935353519657
1146,314930,25550,-17601.583607522134
311,011390,103000,-17537.878787878788
1171,338220,10000,-17256.3254368614
419,003620,2770,-17214.628707759894
913,033640,29400,-17207.88082779274
2035,208340,4920,-17147.617492509187
694,097230,7900,-16791.97926668379
725,267250,59100,-16747.921669346117
2193,028080,4350,-16652.744987758306
1927,274090,16450,-16467.071389272314
332,010140,5680,-16421.227272727272
1289,268600,27350,-16193.218809102376
1409,185490,8610,-16142.817023137335
934,214870,9030,-16124.287673176637
446,078520,6830,-16031.244836260132
2013,322180,11200,-15914.017836725357
1144,301300,37400,-15838.198767781687
2105,062970,3745,-15788.255175418193
1009,023790,3065,-15709.021132168109
1585,033310,6110,-14446.151974093847
1761,181340,2705,-14242.786034969451
610,091810,2715,-14161.479642410763
1064,294140,4220,-14056.756756756758
2131,080720,8740,-14055.392594481997
633,019490,2470,-13911.859717347135
444,298690,2235,-13714.985561056104
1205,100090,19950,-13631.75206232102
